time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
236,1.04,0.99,-38,-37,0,1108,0,0,9,9,100,0,0
238,0.97,0.99,-40,-40,0,1116,0,1,9,9,100,0,0
236,0.97,0.99,-39,-38,0,1124,0,1,9,9,100,0,0
238,0.97,0.99,-39,-38,0,1132,0,0,9,9,100,0,0
238,1.0,0.98,-38,-37,0,1140,0,1,9,9,100,0,0
236,1.04,0.99,-38,-37,0,1148,0,1,9,9,100,0,0
236,0.97,0.99,-38,-37,0,1156,-1,1,9,9,100,0,0
238,1.0,1.0,-39,-39,0,1164,-1,0,9,9,100,0,0
240,0.97,0.98,-38,-38,0,1180,0,0,9,9,100,0,0
236,0.93,0.97,-38,-38,0,1188,0,0,9,9,100,0,0
234,0.93,0.95,-40,-39,0,1196,1,1,9,9,100,0,0
238,1.04,0.97,-40,-40,0,1204,0,1,9,9,100,0,0
236,1.0,0.98,-40,-39,0,1212,0,0,9,9,100,0,0
236,1.0,0.99,-38,-38,0,1220,0,0,9,9,100,0,0
236,1.0,1.01,-40,-40,0,1228,-1,1,9,9,100,0,0
238,1.0,1.0,-38,-38,0,1236,0,0,9,9,100,0,0
236,1.04,1.01,-39,-39,0,1244,0,0,9,9,100,0,0
238,0.97,1.0,-38,-38,0,1252,-1,0,9,9,100,0,0
238,0.97,0.99,-40,-40,0,1260,0,0,9,9,100,0,0
238,0.97,0.99,-38,-38,0,1268,0,0,9,9,100,0,0
236,0.97,0.97,-39,-39,0,1276,0,0,9,9,100,0,0
236,1.04,0.99,-38,-38,0,1284,-1,0,9,9,100,0,0
236,0.97,0.99,-38,-38,0,1292,0,-1,9,9,100,0,0
236,1.0,0.99,-38,-38,0,1300,-1,0,9,9,100,0,0
236,1.04,1.01,-38,-38,0,1308,0,-1,9,9,100,0,0
238,1.08,1.02,-39,-39,0,1316,0,0,9,9,100,0,0
234,0.97,1.02,-38,-38,0,1324,1,0,9,9,100,0,0
238,1.0,1.02,-38,-38,0,1332,0,0,9,9,100,0,0
236,0.93,0.99,-38,-38,0,1340,1,0,9,9,100,0,0
238,1.0,0.98,-38,-38,0,1348,0,0,9,9,100,0,0
236,1.0,0.99,-40,-40,0,1356,0,-1,9,9,100,0,0
236,0.97,0.98,-39,-39,0,1364,0,0,9,9,100,0,0
236,0.97,0.99,-38,-38,0,1372,0,0,9,9,100,0,0
238,1.04,1.0,-38,-38,0,1388,-1,-1,9,9,100,0,0
238,1.04,1.02,-39,-39,0,1396,0,0,9,9,100,0,0
234,1.0,1.03,-38,-38,0,1404,0,0,9,9,100,0,0
238,1.0,1.02,-40,-40,0,1412,0,-1,9,9,100,0,0
236,1.0,1.01,-38,-38,0,1420,0,0,9,9,100,0,0
236,1.0,1.0,-38,-38,0,1428,1,0,9,9,100,0,0
236,0.93,0.99,-40,-40,0,1436,0,0,9,9,100,0,0
238,1.0,0.99,-38,-38,0,1444,1,0,9,9,100,0,0
238,0.97,0.98,-38,-37,0,1452,1,0,9,9,100,0,0
238,0.93,0.96,-38,-38,0,1460,1,0,9,9,100,0,0
240,1.0,0.98,-38,-37,0,1468,0,-1,9,9,100,0,0
234,0.97,0.97,-38,-37,0,1476,0,1,9,9,100,0,0
236,0.97,0.97,-38,-37,0,1484,1,0,9,9,100,0,0
236,0.93,0.97,-40,-40,0,1492,0,0,9,9,100,0,0
240,0.97,0.96,-38,-38,0,1500,0,0,9,9,100,0,0
234,1.0,0.97,-38,-37,0,1508,0,0,9,9,100,0,0
238,1.0,0.98,-39,-39,0,1516,0,-1,9,9,100,0,0
