time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
236,1.04,1.04,-40,-40,0,2115,0,1,9,9,100,0,0
238,1.04,1.04,-40,-39,0,2123,1,0,9,9,100,0,0
236,1.08,1.04,-40,-40,0,2131,1,-1,9,9,100,0,0
238,1.04,1.05,-40,-40,0,2139,0,-1,9,9,100,0,0
236,1.04,1.05,-40,-40,0,2147,1,0,9,9,100,0,0
236,1.0,1.04,-39,-39,0,2155,1,-1,9,9,100,0,0
234,1.04,1.03,-41,-41,0,2163,0,0,9,9,100,0,0
238,1.0,1.02,-39,-39,0,2171,0,0,9,9,100,0,0
236,1.08,1.03,-39,-39,0,2179,-1,0,9,9,100,0,0
238,1.08,1.05,-39,-39,0,2187,1,0,9,9,100,0,0
236,1.0,1.04,-39,-39,0,2195,1,0,9,9,100,0,0
238,1.08,1.06,-39,-39,0,2203,0,0,9,9,100,0,0
236,1.04,1.05,-40,-40,0,2211,1,0,9,9,100,0,0
238,1.0,1.03,-41,-40,0,2219,0,0,9,9,100,0,0
238,0.97,1.02,-40,-40,0,2227,1,0,9,9,100,0,0
238,0.97,0.99,-40,-40,0,2235,0,-1,9,9,100,0,0
236,1.0,0.99,-40,-39,0,2243,0,-1,9,9,100,0,0
238,1.04,0.99,-40,-40,0,2251,0,0,9,9,100,0,0
236,0.97,0.99,-40,-39,0,2259,-1,0,9,9,100,0,0
238,1.0,1.0,-40,-40,0,2267,1,0,9,9,100,0,0
236,1.04,1.01,-40,-40,0,2275,0,-1,9,9,100,0,0
238,1.08,1.02,-39,-39,0,2283,0,0,9,9,100,0,0
234,1.0,1.03,-39,-39,0,2291,0,0,9,9,100,0,0
238,0.97,1.02,-40,-40,0,2299,0,1,9,9,100,0,0
236,0.97,1.0,-39,-39,0,2307,0,0,9,9,100,0,0
236,1.04,0.99,-40,-40,0,2315,0,-1,9,9,100,0,0
238,0.97,0.99,-40,-40,0,2323,0,0,9,9,100,0,0
238,0.93,0.98,-39,-39,0,2331,1,0,9,9,100,0,0
234,1.0,0.99,-40,-39,0,2339,0,1,9,9,100,0,0
236,1.04,0.99,-40,-40,0,2347,0,1,9,9,100,0,0
238,1.04,1.0,-39,-39,0,2355,0,-1,9,9,100,0,0
240,1.0,1.02,-39,-39,0,2363,0,-1,9,9,100,0,0
234,1.0,1.02,-39,-39,0,2371,0,-1,9,9,100,0,0
238,1.0,1.01,-39,-39,0,2379,0,0,9,9,100,0,0
236,1.0,1.0,-40,-40,0,2387,0,0,9,9,100,0,0
236,1.04,1.01,-40,-40,0,2395,0,-1,9,9,100,0,0
236,0.93,0.99,-40,-40,0,2403,0,1,9,9,100,0,0
236,1.04,1.0,-40,-40,0,2411,0,-1,9,9,100,0,0
236,1.08,1.02,-40,-40,0,2419,0,1,9,9,100,0,0
238,1.0,1.01,-39,-39,0,2427,0,0,9,9,100,0,0
236,0.97,1.02,-39,-39,0,2435,0,1,9,9,100,0,0
238,0.97,1.0,-40,-40,0,2443,1,0,9,9,100,0,0
234,1.0,0.99,-40,-40,0,2451,1,0,9,9,100,0,0
238,1.0,0.99,-40,-40,0,2459,0,0,9,9,100,0,0
236,1.0,0.99,-39,-39,0,2467,0,0,9,9,100,0,0
238,1.0,1.0,-41,-40,0,2483,0,1,9,9,100,0,0
234,1.04,1.01,-39,-39,0,2491,0,1,9,9,100,0,0
236,1.04,1.02,-40,-40,0,2499,0,0,9,9,100,0,0
238,0.97,1.01,-40,-39,0,2507,0,1,9,9,100,0,0
236,1.0,1.01,-39,-39,0,2515,0,1,9,9,100,0,0
