time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
236,1.88,1.85,-62,-62,0,46283,-1,0,6,7,100,0,0
263,1.77,1.83,-59,-59,0,46292,0,0,6,6,100,0,0
238,1.85,1.84,-58,-58,0,46300,-1,1,6,6,100,0,0
238,1.7,1.8,-56,-56,0,46308,0,0,6,6,100,0,0
234,1.63,1.8,-59,-59,0,46316,-6,0,7,7,0,0,0
242,1.44,1.69,-63,-63,0,46324,0,0,7,7,100,0,0
203,1.48,1.69,-61,-61,0,46331,-9,1,6,7,0,0,0
214,1.52,1.63,-59,-59,0,46338,-1,0,6,6,100,0,0
230,1.52,1.63,-62,-62,0,46346,-5,1,6,7,0,0,0
214,1.81,1.62,-57,-57,0,46353,0,0,7,6,100,0,0
230,2.03,1.7,-65,-64,0,46361,-1,0,7,7,100,0,0
238,1.77,1.78,-57,-57,0,46369,0,1,7,7,100,0,0
236,1.81,1.85,-58,-58,0,46377,-1,1,7,7,100,0,0
238,1.85,1.86,-59,-59,0,46385,0,1,7,7,100,0,0
236,1.85,1.82,-58,-58,0,46393,0,0,7,7,100,0,0
236,1.92,1.85,-62,-62,0,46401,-1,0,7,7,100,0,0
236,1.92,1.88,-57,-57,0,46409,-1,0,7,7,100,0,0
238,1.92,1.9,-56,-56,0,46417,0,1,6,6,100,0,0
238,1.96,1.93,-63,-63,0,46425,0,1,7,7,100,0,0
234,1.88,1.92,-56,-56,0,46433,-1,0,7,7,100,0,0
236,1.92,1.92,-58,-58,0,46441,0,0,7,6,100,0,0
238,1.81,1.89,-58,-58,0,46449,0,1,6,6,100,0,0
240,1.48,1.77,-61,-61,0,46457,-1,0,6,7,100,0,0
236,1.37,1.64,-55,-55,0,46465,0,0,7,7,100,0,0
236,1.85,1.63,-62,-62,0,46473,0,1,7,6,100,0,0
236,1.74,1.61,-60,-60,0,46481,-1,0,6,7,100,0,0
269,1.44,1.6,-58,-57,0,46490,-1,0,6,7,100,0,0
242,1.66,1.62,-62,-62,0,46523,0,0,6,7,100,0,0
238,1.63,1.62,-58,-58,0,46531,4,0,6,6,0,0,0
210,1.74,1.62,-61,-61,0,46538,0,1,6,6,100,0,0
240,1.63,1.66,-57,-57,0,46554,0,1,6,6,100,0,0
232,1.63,1.65,-56,-56,0,46562,0,1,6,6,100,0,0
263,1.7,1.64,-58,-58,0,46571,-1,1,6,6,100,0,0
267,1.63,1.64,-65,-65,0,46580,-1,0,6,6,100,0,0
242,1.59,1.63,-57,-57,0,46588,0,0,6,6,100,0,0
232,1.66,1.64,-58,-57,0,46596,-1,1,6,6,100,0,0
240,1.63,1.63,-65,-66,0,46604,0,1,6,6,100,0,0
234,1.66,1.63,-59,-60,0,46612,-1,0,6,6,100,0,0
240,1.66,1.65,-57,-57,0,46620,-1,0,6,7,100,0,0
234,1.63,1.64,-57,-57,0,46628,0,1,6,7,100,0,0
238,1.59,1.63,-64,-64,0,46636,-1,0,6,6,100,0,0
267,1.66,1.63,-60,-60,0,46645,0,0,6,7,100,0,0
234,1.59,1.62,-57,-57,0,46653,0,1,6,6,100,0,0
236,1.59,1.61,-57,-57,0,46661,-1,1,6,6,100,0,0
240,1.59,1.61,-57,-57,0,46669,-1,0,6,6,100,0,0
236,1.66,1.61,-60,-59,0,46677,0,0,6,6,100,0,0
236,1.55,1.6,-57,-57,0,46685,0,1,6,6,100,0,0
236,1.59,1.6,-53,-54,0,46693,0,1,6,6,100,0,0
236,1.59,1.6,-53,-54,0,46701,9,0,6,6,0,0,0
214,1.63,1.61,-53,-54,0,46708,-1,0,6,6,100,0,0
