time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
236,0.64,0.59,-45,-45,0,37915,0,0,8,8,100,0,0
236,0.53,0.61,-45,-45,0,37923,0,0,8,8,100,0,0
236,0.56,0.58,-51,-51,0,37931,0,0,8,8,100,0,0
238,0.75,0.62,-49,-49,0,37939,-1,0,8,8,100,0,0
238,0.6,0.61,-46,-46,0,37947,0,1,8,8,100,0,0
238,0.67,0.65,-49,-49,0,37955,1,0,8,8,100,0,0
236,0.67,0.67,-47,-47,0,37963,-1,0,8,8,100,0,0
240,0.64,0.65,-47,-47,0,37971,0,0,8,8,100,0,0
234,0.56,0.64,-48,-49,0,37979,0,1,8,8,100,0,0
236,0.71,0.65,-48,-48,0,37987,0,-1,8,8,100,0,0
238,0.64,0.64,-48,-49,0,37995,0,1,8,8,100,0,0
238,0.6,0.63,-50,-50,0,38003,0,0,8,8,100,0,0
238,0.67,0.66,-48,-49,0,38019,0,0,8,8,100,0,0
238,0.67,0.67,-49,-49,0,38027,0,-1,8,8,100,0,0
234,0.71,0.7,-45,-45,0,38035,0,-2,8,8,100,0,0
236,0.64,0.67,-44,-44,0,38043,-1,0,8,8,100,0,0
238,0.67,0.67,-47,-47,0,38051,0,-1,8,8,100,0,0
234,0.64,0.66,-48,-49,0,38059,0,0,8,8,100,0,0
236,0.67,0.66,-49,-50,0,38067,1,-1,8,8,100,0,0
240,0.64,0.66,-46,-46,0,38075,1,0,8,8,100,0,0
238,0.67,0.66,-49,-50,0,38083,-1,-1,8,8,100,0,0
236,0.6,0.65,-49,-50,0,38091,0,1,8,8,100,0,0
240,0.6,0.63,-47,-47,0,38099,0,1,8,8,100,0,0
234,0.67,0.64,-48,-47,0,38107,0,-1,8,8,100,0,0
238,0.67,0.64,-47,-47,0,38115,-1,0,8,8,100,0,0
234,0.56,0.63,-50,-50,0,38123,1,0,8,8,100,0,0
236,0.67,0.65,-48,-47,0,38131,1,0,8,8,100,0,0
236,0.64,0.64,-49,-50,0,38139,0,0,8,8,100,0,0
238,0.64,0.63,-44,-45,0,38147,0,0,8,8,100,0,0
236,0.56,0.63,-48,-48,0,38155,0,1,8,8,100,0,0
238,0.71,0.64,-50,-51,0,38163,-1,-1,8,8,100,0,0
238,0.56,0.62,-45,-45,0,38171,-1,0,8,8,100,0,0
234,0.67,0.63,-50,-50,0,38179,-1,0,8,8,100,0,0
236,0.67,0.66,-44,-44,0,38187,-1,0,8,8,100,0,0
236,0.71,0.66,-49,-50,0,38195,1,-1,8,8,100,0,0
240,0.67,0.68,-47,-47,0,38203,1,0,8,8,100,0,0
238,0.71,0.69,-48,-49,0,38211,0,0,8,8,100,0,0
236,0.64,0.68,-45,-45,0,38219,1,0,8,8,100,0,0
236,0.56,0.65,-48,-49,0,38227,0,0,8,8,100,0,0
236,0.6,0.63,-48,-49,0,38235,-1,1,8,8,100,0,0
236,0.64,0.61,-48,-48,0,38243,1,1,8,8,100,0,0
236,0.56,0.59,-48,-49,0,38251,0,1,8,8,100,0,0
238,0.64,0.61,-49,-50,0,38259,0,0,8,8,100,0,0
238,0.67,0.63,-47,-47,0,38267,-1,0,8,8,100,0,0
238,0.6,0.62,-45,-45,0,38275,0,-1,8,8,100,0,0
238,0.71,0.66,-47,-47,0,38283,0,0,8,8,100,0,0
236,0.64,0.66,-49,-49,0,38291,0,0,8,8,100,0,0
236,0.64,0.65,-48,-49,0,38299,0,0,8,8,100,0,0
240,0.67,0.66,-48,-49,0,38307,0,0,8,8,100,0,0
234,0.64,0.65,-45,-45,0,38315,0,0,8,8,100,0,0
