time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
234,1.48,1.53,-50,-51,0,42228,0,0,8,7,100,0,0
238,1.52,1.53,-49,-50,0,42236,0,0,8,8,100,0,0
236,1.52,1.53,-57,-56,0,42244,0,0,8,8,100,0,0
238,1.55,1.52,-57,-56,0,42252,-1,0,8,8,100,0,0
234,1.52,1.52,-52,-53,0,42260,1,1,8,7,100,0,0
240,1.59,1.54,-50,-50,0,42268,0,0,8,8,100,0,0
236,1.59,1.56,-58,-58,0,42276,0,1,8,8,100,0,0
234,1.52,1.55,-62,-62,0,42284,1,0,8,8,100,0,0
240,1.48,1.54,-60,-60,0,42292,0,-1,8,8,100,0,0
238,1.52,1.52,-52,-53,0,42300,1,0,8,8,100,0,0
238,1.52,1.51,-51,-52,0,42308,-1,0,8,8,100,0,0
236,1.41,1.48,-50,-51,0,42316,1,1,8,8,100,0,0
238,1.48,1.48,-50,-51,0,42324,0,0,7,7,100,0,0
234,1.52,1.48,-52,-53,0,42332,0,0,7,8,100,0,0
236,1.44,1.46,-62,-61,0,42340,0,0,8,8,100,0,0
238,1.44,1.47,-52,-52,0,42348,1,0,8,7,100,0,0
238,1.44,1.46,-55,-55,0,42356,1,1,7,8,100,0,0
210,1.48,1.45,-50,-50,0,42363,0,0,7,8,100,0,0
234,1.44,1.45,-50,-51,0,42371,0,0,7,7,100,0,0
236,1.37,1.43,-53,-54,0,42379,0,0,7,8,100,0,0
238,1.37,1.42,-67,-67,0,42387,0,0,7,8,100,0,0
236,1.41,1.4,-52,-53,0,42395,0,0,7,8,100,0,0
234,1.41,1.39,-65,-65,0,42403,0,0,7,8,100,0,0
240,1.48,1.42,-53,-54,0,42411,0,0,7,8,100,0,0
238,1.48,1.44,-62,-62,0,42419,0,0,7,8,100,0,0
238,1.44,1.45,-50,-51,0,42427,0,0,7,8,100,0,0
234,1.44,1.46,-53,-54,0,42435,0,1,7,8,100,0,0
236,1.44,1.45,-62,-62,0,42443,0,0,7,8,100,0,0
236,1.41,1.43,-63,-63,0,42451,0,0,7,7,100,0,0
238,1.48,1.44,-55,-55,0,42459,1,0,7,7,100,0,0
240,1.48,1.45,-63,-63,0,42467,1,0,7,8,100,0,0
236,1.44,1.45,-56,-56,0,42475,-1,-1,7,8,100,0,0
240,1.48,1.47,-51,-52,0,42483,0,-1,7,8,100,0,0
234,1.41,1.45,-53,-53,0,42491,0,0,7,8,100,0,0
236,1.41,1.43,-51,-52,0,42499,-1,-1,7,7,100,0,0
236,1.48,1.44,-49,-50,0,42507,0,0,7,7,100,0,0
236,1.48,1.44,-60,-60,0,42515,0,0,7,8,100,0,0
236,1.44,1.45,-60,-60,0,42523,1,0,7,8,100,0,0
238,1.48,1.47,-49,-50,0,42531,0,0,7,8,100,0,0
238,1.44,1.46,-49,-50,0,42539,1,0,7,8,100,0,0
234,1.44,1.45,-52,-53,0,42547,1,0,7,7,100,0,0
240,1.44,1.45,-51,-52,0,42555,1,0,7,8,100,0,0
238,1.48,1.44,-53,-54,0,42571,0,0,7,7,100,0,0
234,1.44,1.44,-52,-52,0,42579,0,0,7,8,100,0,0
236,1.48,1.45,-51,-51,0,42587,1,0,7,7,100,0,0
236,1.44,1.46,-52,-53,0,42595,0,-1,7,8,100,0,0
238,1.52,1.47,-63,-63,0,42603,0,1,7,7,100,0,0
238,1.48,1.48,-60,-59,0,42611,1,0,7,7,100,0,0
238,1.52,1.49,-60,-59,0,42619,0,0,7,7,100,0,0
236,1.44,1.49,-54,-55,0,42627,0,0,7,7,100,0,0
