time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
236,3.05,3.05,-60,-60,0,61090,1,-1,5,5,100,0,0
238,3.13,3.05,-73,-74,0,61098,0,-1,5,5,100,0,0
236,3.38,3.15,-56,-55,0,61106,1,0,5,5,100,0,0
240,5.36,3.15,-84,-83,0,61114,0,5,5,5,0,0,0
210,5.47,3.76,-60,-60,0,61121,1,-1,5,5,100,0,0
234,3.24,3.8,-58,-58,0,61129,0,0,5,5,100,0,0
232,3.24,3.83,-71,-72,0,61137,1,0,5,6,100,0,0
238,3.16,3.78,-59,-58,0,61145,0,-1,5,6,100,0,0
238,3.24,3.22,-60,-60,0,61153,1,0,5,5,100,0,0
236,3.27,3.23,-65,-65,0,61161,-1,-1,5,6,100,0,0
238,3.2,3.22,-56,-56,0,61169,1,0,5,6,100,0,0
236,3.2,3.23,-59,-59,0,61177,0,0,5,5,100,0,0
238,5.43,3.78,-55,-55,0,61185,1,0,5,5,100,0,0
236,5.36,4.3,-55,-55,0,61193,0,0,5,6,100,0,0
234,5.36,4.84,-80,-80,0,61201,1,0,5,6,100,0,0
238,5.21,5.34,-63,-63,0,61209,-1,-1,5,6,100,0,0
236,5.32,5.31,-61,-61,0,61217,1,-1,5,5,100,0,0
234,3.09,4.75,-61,-61,0,61225,0,-1,5,5,100,0,0
236,2.98,4.15,-56,-56,0,61233,0,0,5,5,100,0,0
236,2.91,3.57,-61,-61,0,61241,1,-1,5,6,100,0,0
236,3.05,3.01,-61,-61,0,61249,1,-2,5,6,100,0,0
238,2.94,2.97,-58,-57,0,61257,0,1,5,5,100,0,0
240,3.09,3.0,-65,-65,0,61265,0,0,5,5,100,0,0
234,3.02,3.03,-57,-57,0,61273,1,0,4,5,100,0,0
240,3.13,3.07,-72,-72,0,61289,0,-1,5,5,100,0,0
232,3.09,3.07,-57,-57,0,61297,1,0,5,5,100,0,0
242,3.05,3.08,-67,-68,0,61313,1,1,4,5,100,0,0
234,3.13,3.08,-66,-66,0,61321,0,-1,4,5,100,0,0
238,3.16,3.1,-69,-69,0,61329,-1,1,5,5,100,0,0
236,3.09,3.11,-60,-60,0,61337,0,1,4,5,100,0,0
238,3.13,3.13,-57,-57,0,61345,0,0,4,5,100,0,0
236,3.13,3.13,-64,-64,0,61353,0,0,5,5,100,0,0
238,3.16,3.13,-69,-69,0,61361,0,0,4,5,100,0,0
236,3.24,3.16,-57,-57,0,61369,1,0,4,5,100,0,0
238,3.27,3.2,-58,-58,0,61377,-1,1,4,5,100,0,0
238,3.35,3.25,-59,-58,0,61385,-1,0,4,5,100,0,0
238,5.54,3.85,-57,-57,0,61393,0,0,4,5,100,0,0
236,5.47,4.41,-68,-68,0,61401,-1,1,4,5,100,0,0
238,5.43,5.47,-62,-62,0,61417,1,1,4,5,100,0,0
234,3.42,4.94,-62,-62,0,61425,0,1,4,5,100,0,0
236,5.36,4.91,-58,-58,0,61433,0,-1,4,4,100,0,0
236,5.36,4.89,-57,-56,0,61441,0,1,4,5,100,0,0
236,5.43,4.89,-71,-71,0,61449,0,1,4,5,100,0,0
238,5.54,5.42,-59,-59,0,61457,0,1,4,5,100,0,0
236,5.51,5.42,-62,-61,0,61465,1,-1,4,5,0,2,2
210,5.43,5.44,-79,-79,0,61472,1,0,4,5,100,0,0
234,5.47,5.47,-62,-62,0,61480,0,0,4,5,100,0,0
236,3.31,4.94,-59,-59,0,61488,-1,0,4,5,100,0,0
240,3.31,4.38,-57,-57,0,61496,0,0,4,5,100,0,0
236,3.31,3.85,-59,-59,0,61504,0,-1,4,5,100,0,0
