time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
238,2.39,2.28,-64,-64,0,54419,0,-1,7,6,100,0,0
234,2.25,2.29,-57,-56,0,54427,0,0,7,6,100,0,0
232,2.14,2.27,-68,-68,0,54435,0,0,7,6,100,0,0
236,2.17,2.27,-67,-67,0,54443,0,13,7,7,0,0,0
214,2.14,2.27,-68,-68,0,54450,1,4,7,7,0,0,0
179,2.25,2.26,-56,-56,0,54456,0,-1,7,7,100,0,0
201,2.28,2.23,-67,-67,0,54463,0,-1,7,7,100,0,0
230,2.17,2.23,-63,-63,0,54471,0,3,7,7,0,0,0
212,2.25,2.23,-69,-69,0,54478,0,-1,7,6,100,0,0
232,2.28,2.27,-64,-64,0,54486,0,-1,6,7,100,0,0
240,2.36,2.29,-65,-65,0,54494,0,-1,6,7,100,0,0
238,2.39,2.32,-63,-62,0,54502,1,0,6,6,100,0,0
234,2.32,2.34,-64,-64,0,54510,1,0,7,6,100,0,0
208,2.36,2.36,-65,-65,0,54517,0,0,6,6,100,0,0
234,2.32,2.35,-66,-66,0,54525,1,0,6,6,100,0,0
236,2.25,2.31,-64,-64,0,54533,1,0,7,7,100,0,0
236,2.32,2.31,-73,-73,0,54541,0,0,7,7,100,0,0
208,2.32,2.3,-68,-67,0,54548,1,-1,6,7,100,0,0
208,2.32,2.3,-67,-67,0,54555,0,0,6,7,100,0,0
234,2.28,2.31,-66,-66,0,54563,1,0,7,7,100,0,0
236,2.21,2.28,-67,-67,0,54571,0,0,7,7,100,0,0
208,2.17,2.25,-63,-63,0,54578,1,-1,7,6,100,0,0
236,2.14,2.2,-63,-63,0,54586,1,0,7,7,100,0,0
208,2.14,2.17,-58,-58,0,54593,0,0,7,6,100,0,0
234,2.21,2.17,-63,-63,0,54601,0,0,7,7,100,0,0
234,2.28,2.19,-61,-61,0,54609,0,0,7,7,100,0,0
271,2.25,2.22,-63,-63,0,54618,1,0,7,6,100,0,0
207,2.25,2.25,-70,-70,0,54625,1,0,7,7,100,0,0
207,2.21,2.25,-68,-69,0,54632,1,0,7,6,100,0,0
234,2.28,2.25,-69,-69,0,54640,0,0,7,7,100,0,0
238,2.25,2.25,-69,-69,0,54648,0,-1,7,7,100,0,0
238,2.25,2.25,-63,-63,0,54656,0,0,7,7,100,0,0
238,2.25,2.26,-65,-65,0,54664,0,-1,7,6,100,0,0
238,2.28,2.26,-75,-76,0,54672,1,0,7,6,100,0,0
236,2.25,2.26,-59,-59,0,54680,0,-1,7,6,100,0,0
236,2.32,2.28,-69,-69,0,54688,0,0,7,6,100,0,0
236,2.25,2.28,-65,-65,0,54696,0,0,7,7,100,0,0
236,2.28,2.28,-65,-65,0,54704,1,0,7,7,100,0,0
210,2.25,2.28,-65,-65,0,54711,1,0,7,7,100,0,0
232,2.25,2.26,-64,-64,0,54719,0,0,7,7,100,0,0
212,2.17,2.24,-65,-65,0,54726,0,0,7,6,100,0,0
236,2.17,2.21,-63,-63,0,54734,0,0,7,7,100,0,0
236,2.17,2.19,-65,-65,0,54742,0,0,7,7,100,0,0
208,2.17,2.17,-63,-63,0,54749,0,0,7,6,100,0,0
234,2.1,2.16,-63,-63,0,54757,0,0,7,7,100,0,0
232,2.21,2.17,-65,-65,0,54765,0,-1,7,7,100,0,0
240,2.21,2.17,-72,-72,0,54773,1,0,7,7,100,0,0
236,2.25,2.19,-67,-67,0,54781,0,0,7,6,100,0,0
238,2.25,2.23,-59,-59,0,54789,0,-1,7,6,100,0,0
236,2.21,2.23,-67,-67,0,54797,0,0,6,7,100,0,0
