# 6442, 1590253813
#  dongle_time, rssi, ch, mac, adv_packet                                                          
    3615709,-76,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DB0000000000000000000000000019C0
    3615730,-78,38,EE:AD:79:D5:11:BD,02010403036FFD17166FFD000000404F0100000000000000000000000019C0
    3618040,-86,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3618143,-83,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3618249,-81,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3620558,-76,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3620579,-72,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3620600,-81,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3620622,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040550100000000000000000000000019C0
    3620642,-86,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407C0100000000000000000000000019C0
    3620666,-75,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3620687,-71,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3620708,-81,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3620729,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040550100000000000000000000000019C0
    3620749,-84,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407C0100000000000000000000000019C0
    3620772,-75,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3620793,-70,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3620814,-82,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3620834,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040550100000000000000000000000019C0
    3623168,-80,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3623204,-78,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3623225,-80,38,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3623246,-83,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3623274,-77,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3623306,-74,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3623327,-82,38,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3623347,-86,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3623383,-81,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3623407,-84,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3623427,-76,38,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3625686,-83,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040560100000000000000000000000019C0
    3625707,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3625729,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3625750,-78,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3625782,-85,39,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3625803,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040560100000000000000000000000019C0
    3625824,-84,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3625845,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3625866,-76,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3625887,-89,39,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3625907,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040560100000000000000000000000019C0
    3625928,-87,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3625949,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3625969,-73,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3628233,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3628270,-71,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3628291,-74,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3628311,-83,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
    3628332,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040560100000000000000000000000019C0
    3628353,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407D0100000000000000000000000019C0
    3628378,-71,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DC0000000000000000000000000019C0
    3628399,-86,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040500100000000000000000000000019C0
    3628420,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C50100000000000000000000000019C0
