Time taken,RSSI
0.10256123542785645,-56.5
0.10792732238769531,-57.0
0.10834145545959473,-57.5
0.10502123832702637,-58.5
0.10806846618652344,-58.0
0.10335969924926758,-57.5
0.1076202392578125,-57.5
0.10127568244934082,-56.0
0.10478997230529785,-54.5
0.1035923957824707,-56.5
0.2461714744567871,-60.5
0.11060643196105957,-58.0
0.10703778266906738,-58.5
0.10272002220153809,-58.0
0.10739517211914062,-57.5
0.10503077507019043,-56.5
0.10440802574157715,-56.5
0.108154296875,-56.5
0.10020685195922852,-57.0
0.1049189567565918,-57.0
0.10735082626342773,-58.0
0.10438728332519531,-58.5
0.10799908638000488,-58.5
0.10387086868286133,-57.5
0.10914921760559082,-57.5
0.10400581359863281,-57.5
0.10396337509155273,-57.5
0.10760736465454102,-57.0
0.1033315658569336,-58.0
0.10419297218322754,-58.0
0.10854125022888184,-57.5
0.10109162330627441,-57.0
0.10819792747497559,-57.0
0.10857152938842773,-58.0
0.10728192329406738,-58.0
0.10819673538208008,-58.0
0.10591959953308105,-57.0
0.11079597473144531,-56.0
0.10728192329406738,-56.0
0.10514235496520996,-57.5
0.10983633995056152,-57.5
0.34491467475891113,-54.5
0.1042165756225586,-58.0
0.10766029357910156,-55.5
0.10475420951843262,-56.0
0.10807108879089355,-56.5
0.10795402526855469,-57.0
0.10533332824707031,-56.5
0.10718178749084473,-56.5
0.10460424423217773,-56.0
0.2282414436340332,-59.5
0.10218143463134766,-58.0
0.10299062728881836,-56.5
0.10738015174865723,-57.5
0.10415387153625488,-57.5
0.10405540466308594,-56.5
0.1044161319732666,-57.0
0.10398244857788086,-56.0
0.10535883903503418,-57.0
0.10340046882629395,-57.0
0.10395646095275879,-56.0
0.10526561737060547,-58.0
0.1031644344329834,-56.0
0.10796165466308594,-57.0
0.21259450912475586,-57.5
0.10451555252075195,-57.0
0.10831189155578613,-57.5
0.10434293746948242,-57.0
0.10416817665100098,-58.5
0.1054840087890625,-57.5
0.10515618324279785,-57.0
0.10761213302612305,-57.0
0.10299158096313477,-58.5
0.10565400123596191,-57.5
0.10762310028076172,-57.5
0.11023449897766113,-57.5
0.10422110557556152,-57.0
0.10690689086914062,-57.0
0.10574197769165039,-57.0
0.10261964797973633,-57.5
0.10836553573608398,-56.0
0.10330963134765625,-57.5
0.10401034355163574,-56.5
0.10815048217773438,-57.0
0.10403633117675781,-57.5
0.10054636001586914,-57.5
0.1040334701538086,-56.5
0.10823416709899902,-57.5
0.10388016700744629,-57.5
0.10441064834594727,-57.0
0.10889029502868652,-57.5
0.1006631851196289,-57.0
0.10719656944274902,-57.5
0.10930275917053223,-57.0
0.24073004722595215,-60.0
0.10381555557250977,-56.5
0.11035680770874023,-56.5
0.10312342643737793,-57.5
0.10781049728393555,-57.5
0.10807967185974121,-57.5
0.10579180717468262,-57.5
0.10476016998291016,-57.5
0.10531187057495117,-57.5
0.10494565963745117,-57.5
0.10726380348205566,-58.0
0.1040031909942627,-57.5
0.10698866844177246,-58.0
0.10616302490234375,-58.0
0.10466480255126953,-57.0
0.10437989234924316,-57.0
