time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
238,1.0,0.97,-43,-42,0,33416,0,0,8,9,100,0,0
236,1.0,0.99,-44,-44,0,33424,0,0,9,9,100,0,0
236,0.93,0.98,-45,-45,0,33432,0,0,9,9,100,0,0
236,0.97,0.98,-43,-43,0,33440,1,0,9,9,100,0,0
238,1.0,0.98,-45,-44,0,33448,0,0,8,9,100,0,0
238,1.04,0.99,-43,-42,0,33456,0,0,9,9,100,0,0
238,1.0,1.0,-43,-42,0,33464,0,0,9,9,100,0,0
234,1.0,1.01,-42,-42,0,33472,0,0,8,9,100,0,0
238,1.04,1.02,-43,-43,0,33480,0,0,9,9,100,0,0
234,1.0,1.01,-43,-43,0,33488,0,0,9,9,100,0,0
238,0.97,1.0,-43,-42,0,33496,1,0,9,9,100,0,0
234,1.0,1.0,-44,-43,0,33504,0,0,9,9,100,0,0
238,1.0,0.99,-44,-44,0,33512,0,0,9,9,100,0,0
238,1.0,0.99,-44,-44,0,33520,0,0,8,9,100,0,0
240,1.0,1.0,-42,-42,0,33528,0,0,8,9,100,0,0
236,0.97,0.99,-44,-43,0,33536,0,0,9,9,100,0,0
236,1.0,0.99,-43,-43,0,33544,0,0,9,9,100,0,0
236,1.04,1.0,-42,-41,0,33552,0,0,9,9,100,0,0
238,0.97,0.99,-44,-44,0,33560,0,0,8,9,100,0,0
240,0.86,0.97,-44,-44,0,33568,0,0,9,9,100,0,0
234,0.93,0.95,-45,-45,0,33576,0,-1,8,9,100,0,0
240,1.0,0.94,-44,-44,0,33584,0,0,9,9,100,0,0
236,0.97,0.94,-44,-44,0,33592,0,0,8,9,100,0,0
240,0.93,0.96,-44,-44,0,33600,0,1,9,9,100,0,0
234,0.97,0.97,-43,-43,0,33608,0,0,9,9,100,0,0
238,0.93,0.95,-45,-44,0,33616,0,0,9,9,100,0,0
238,0.93,0.94,-44,-44,0,33624,0,0,9,9,100,0,0
236,0.93,0.94,-45,-45,0,33632,1,0,9,9,100,0,0
238,0.93,0.93,-45,-45,0,33640,0,0,9,9,100,0,0
234,0.93,0.93,-42,-41,0,33648,0,0,9,9,100,0,0
238,0.89,0.92,-45,-45,0,33656,0,0,9,9,100,0,0
236,0.97,0.93,-45,-45,0,33664,0,0,9,9,100,0,0
238,0.89,0.92,-44,-43,0,33672,0,-1,9,9,100,0,0
208,1.0,0.94,-43,-43,0,33679,0,0,9,9,100,0,0
236,0.93,0.95,-42,-42,0,33687,0,0,8,9,100,0,0
236,0.97,0.95,-44,-44,0,33695,1,0,8,9,100,0,0
240,0.89,0.95,-44,-44,0,33703,0,0,8,9,100,0,0
234,0.93,0.93,-44,-44,0,33711,0,0,8,9,100,0,0
240,0.93,0.93,-45,-45,0,33719,0,1,9,9,100,0,0
234,0.93,0.92,-43,-42,0,33727,1,0,9,9,100,0,0
236,0.97,0.94,-43,-43,0,33735,0,-1,9,9,100,0,0
238,0.97,0.95,-44,-44,0,33743,0,0,9,9,100,0,0
238,0.97,0.96,-43,-42,0,33751,0,0,9,9,100,0,0
236,0.93,0.96,-42,-42,0,33759,0,0,9,9,100,0,0
238,0.93,0.95,-44,-44,0,33767,1,1,9,9,100,0,0
238,0.89,0.93,-43,-42,0,33775,1,0,9,9,100,0,0
236,0.97,0.93,-45,-44,0,33783,1,0,9,9,100,0,0
236,0.89,0.92,-43,-42,0,33791,0,0,9,9,100,0,0
236,0.93,0.92,-43,-43,0,33799,0,0,8,9,100,0,0
236,0.89,0.92,-43,-42,0,33807,0,0,9,9,100,0,0
