time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
236,0.78,0.83,-45,-45,0,32025,0,1,8,9,100,0,0
234,0.78,0.81,-45,-45,0,32033,0,1,8,9,100,0,0
238,0.82,0.8,-45,-45,0,32041,0,1,8,9,100,0,0
238,0.82,0.8,-45,-45,0,32049,0,2,8,8,100,0,0
238,0.82,0.81,-45,-45,0,32057,-1,1,8,9,100,0,0
234,0.86,0.83,-45,-45,0,32065,-1,1,8,9,100,0,0
240,0.86,0.84,-44,-44,0,32073,-1,0,8,9,100,0,0
236,0.78,0.83,-44,-44,0,32081,-1,1,8,9,100,0,0
234,0.78,0.82,-46,-45,0,32089,-1,1,8,9,100,0,0
240,0.86,0.82,-46,-45,0,32097,-1,0,8,9,100,0,0
234,0.89,0.83,-46,-46,0,32105,0,0,8,9,100,0,0
236,0.86,0.85,-46,-46,0,32113,-1,1,8,9,100,0,0
240,0.89,0.88,-45,-45,0,32121,0,2,8,9,100,0,0
236,0.89,0.88,-45,-45,0,32129,-1,0,8,8,100,0,0
238,0.78,0.86,-45,-45,0,32137,-1,0,8,9,100,0,0
236,0.86,0.86,-46,-46,0,32145,-1,0,8,9,100,0,0
238,0.86,0.85,-45,-45,0,32153,0,1,8,9,100,0,0
234,0.86,0.84,-46,-45,0,32161,-1,1,8,9,100,0,0
236,0.86,0.86,-44,-44,0,32169,-1,0,8,9,100,0,0
240,0.89,0.87,-44,-43,0,32177,-1,1,8,9,100,0,0
236,0.89,0.88,-43,-43,0,32185,-1,0,8,9,100,0,0
236,0.78,0.86,-45,-45,0,32193,0,1,8,9,100,0,0
234,0.78,0.84,-46,-45,0,32201,0,1,8,9,100,0,0
236,0.78,0.81,-45,-44,0,32209,0,0,8,9,100,0,0
236,0.82,0.79,-47,-46,0,32217,0,0,8,9,100,0,0
236,0.78,0.79,-45,-45,0,32225,0,1,8,9,100,0,0
240,0.82,0.8,-45,-44,0,32233,0,0,8,9,100,0,0
234,0.82,0.81,-45,-45,0,32241,0,0,8,9,100,0,0
238,0.82,0.81,-45,-44,0,32249,0,1,8,9,100,0,0
238,0.82,0.82,-45,-45,0,32257,0,1,8,9,100,0,0
236,0.78,0.81,-45,-45,0,32265,-1,1,8,9,100,0,0
238,0.82,0.81,-44,-44,0,32273,-1,1,8,9,100,0,0
240,0.78,0.8,-45,-45,0,32281,0,1,8,9,100,0,0
236,0.78,0.79,-44,-44,0,32289,-1,1,8,9,100,0,0
236,0.82,0.8,-45,-45,0,32297,0,1,8,9,100,0,0
236,0.82,0.8,-45,-45,0,32305,-1,1,8,9,100,0,0
238,0.78,0.8,-45,-45,0,32313,-1,0,8,9,100,0,0
238,0.78,0.8,-45,-45,0,32321,0,1,8,9,100,0,0
236,0.82,0.8,-46,-46,0,32329,0,1,8,9,100,0,0
236,0.82,0.8,-45,-45,0,32337,-1,1,8,9,100,0,0
238,0.78,0.8,-46,-46,0,32345,-1,1,8,9,100,0,0
236,0.78,0.8,-44,-44,0,32353,0,1,8,9,100,0,0
240,0.78,0.79,-44,-44,0,32361,0,1,8,9,100,0,0
236,0.82,0.79,-45,-45,0,32369,0,1,8,9,100,0,0
238,0.82,0.8,-45,-45,0,32377,-1,1,8,9,100,0,0
236,0.82,0.81,-46,-45,0,32385,0,1,8,9,100,0,0
240,0.82,0.82,-45,-45,0,32393,0,1,8,9,100,0,0
234,0.78,0.81,-45,-44,0,32401,-1,0,8,9,100,0,0
238,0.78,0.8,-46,-46,0,32409,0,0,8,9,100,0,0
238,0.86,0.81,-45,-45,0,32417,-1,1,8,9,100,0,0
