time taken (ms),distance (m),avg. distance (m),initiator RSSI,reciever RSSI,BLE connection number,event,initiator frequency offset (kHz),reciever frequency offset (kHz),initiator AGC gain,reciever AGC gain,distance quality factor,initiator tone exchange steps,reciever tone exchange steps
238,0.89,0.82,-47,-46,0,24714,0,-1,8,8,100,0,0
236,0.97,0.87,-52,-53,0,24722,0,1,8,8,100,0,0
236,0.93,0.9,-51,-52,0,24730,1,-1,7,8,100,0,0
238,1.04,0.96,-47,-46,0,24738,-1,0,8,8,100,0,0
234,0.93,0.97,-47,-46,0,24746,0,0,8,8,100,0,0
238,0.93,0.96,-48,-47,0,24754,0,0,7,8,100,0,0
240,1.0,0.98,-48,-47,0,24762,1,0,8,8,100,0,0
234,0.93,0.95,-49,-49,0,24770,0,-1,8,8,100,0,0
238,0.89,0.94,-47,-47,0,24778,1,-1,8,8,100,0,0
236,0.89,0.93,-47,-47,0,24786,1,-1,8,8,100,0,0
238,0.97,0.92,-50,-50,0,24794,0,-1,8,8,100,0,0
232,0.89,0.91,-46,-46,0,24802,1,-1,8,8,100,0,0
240,0.86,0.9,-47,-46,0,24810,0,0,8,8,100,0,0
236,0.89,0.9,-47,-47,0,24818,0,-1,8,8,100,0,0
238,0.97,0.9,-48,-48,0,24826,0,-1,8,8,100,0,0
236,0.97,0.92,-47,-47,0,24834,0,0,8,8,100,0,0
238,0.89,0.93,-49,-49,0,24842,0,0,8,8,100,0,0
238,0.89,0.93,-48,-47,0,24850,0,0,8,8,100,0,0
236,0.82,0.89,-46,-46,0,24858,0,-1,8,8,100,0,0
236,0.86,0.87,-46,-46,0,24866,1,0,8,8,100,0,0
238,0.89,0.87,-47,-47,0,24874,1,0,8,8,100,0,0
236,0.93,0.88,-46,-45,0,24882,0,-1,8,8,100,0,0
238,0.89,0.89,-47,-47,0,24890,1,-1,8,8,100,0,0
234,0.82,0.88,-46,-46,0,24898,1,1,8,8,100,0,0
240,0.86,0.88,-52,-52,0,24906,1,0,8,8,100,0,0
236,0.89,0.87,-46,-46,0,24914,1,0,8,8,100,0,0
236,0.93,0.88,-50,-50,0,24922,0,-1,8,8,100,0,0
238,0.86,0.88,-51,-51,0,24930,0,1,8,8,100,0,0
236,0.93,0.9,-48,-48,0,24938,0,-1,8,8,100,0,0
238,0.89,0.9,-50,-50,0,24946,-1,0,8,8,100,0,0
238,0.97,0.93,-47,-47,0,24962,-1,0,8,8,100,0,0
234,0.86,0.91,-45,-45,0,24970,0,-1,8,8,100,0,0
238,0.89,0.92,-47,-47,0,24986,0,0,8,8,100,0,0
234,0.86,0.89,-48,-49,0,24994,1,0,8,8,100,0,0
236,0.82,0.88,-48,-49,0,25002,0,0,8,8,100,0,0
238,0.93,0.88,-46,-46,0,25010,0,0,8,8,100,0,0
240,0.78,0.85,-48,-49,0,25018,0,0,8,8,100,0,0
238,0.86,0.85,-50,-50,0,25026,0,0,8,8,100,0,0
236,0.89,0.87,-46,-46,0,25034,-1,1,8,8,100,0,0
238,0.82,0.85,-47,-47,0,25050,0,0,8,8,100,0,0
236,0.86,0.85,-49,-49,0,25058,1,0,8,8,100,0,0
236,0.93,0.86,-45,-45,0,25066,-1,0,8,8,100,0,0
240,0.86,0.87,-50,-50,0,25074,-1,1,8,8,100,0,0
234,0.86,0.88,-51,-52,0,25082,-1,0,8,8,100,0,0
238,0.89,0.88,-47,-47,0,25090,-1,1,8,8,100,0,0
234,0.86,0.87,-48,-49,0,25098,-1,1,8,8,100,0,0
236,0.82,0.86,-47,-47,0,25106,-1,0,8,8,100,0,0
238,0.93,0.88,-48,-47,0,25114,-1,1,8,8,100,0,0
236,0.82,0.86,-48,-48,0,25122,0,1,8,8,100,0,0
238,0.86,0.86,-45,-45,0,25130,0,-1,8,8,100,0,0
