Time since first transmission (s),RSSI (dB)
0.10346674919128418,-36.5
0.21180295944213867,-36.0
0.3163719177246094,-34.5
0.4184994697570801,-34.5
0.5242128372192383,-35.0
0.6281750202178955,-35.5
0.7327175140380859,-35.0
0.8362839221954346,-34.0
0.9373455047607422,-33.5
1.0391364097595215,-32.5
1.1424927711486816,-33.5
1.24723482131958,-33.5
1.3517820835113525,-33.5
1.4529879093170166,-34.5
1.5568840503692627,-34.5
1.661696434020996,-34.5
1.7661466598510742,-34.0
1.8671517372131348,-35.0
1.9706130027770996,-35.5
2.072338104248047,-36.0
2.1751368045806885,-35.5
2.280162811279297,-34.5
2.3831980228424072,-35.5
2.4866888523101807,-35.5
2.5875139236450195,-33.5
2.6919658184051514,-35.0
2.7958455085754395,-35.0
2.899420976638794,-34.5
3.0045175552368164,-35.0
3.1049892902374268,-35.0
3.2076504230499268,-34.5
3.3094544410705566,-36.0
3.4131252765655518,-34.5
3.517209053039551,-35.0
3.6186397075653076,-35.0
3.720062494277954,-35.0
3.824023485183716,-35.0
3.924981117248535,-34.5
4.028393983840942,-35.0
4.129481077194214,-35.0
4.235593557357788,-35.0
4.3367908000946045,-35.0
4.440819263458252,-35.0
4.543812274932861,-36.0
4.645169973373413,-35.0
4.749025106430054,-35.0
4.849764347076416,-35.0
4.951231241226196,-35.0
5.054563283920288,-35.0
5.160628318786621,-35.0
5.2635817527771,-35.0
5.367837429046631,-35.0
5.474012851715088,-35.0
5.578771591186523,-35.0
5.682087421417236,-35.0
5.78583836555481,-35.0
5.888169765472412,-34.5
5.991787672042847,-34.5
6.096379041671753,-35.5
6.199979543685913,-35.0
6.303908348083496,-35.0
6.407686710357666,-35.5
6.511728525161743,-35.5
6.612072229385376,-35.0
6.7161688804626465,-35.0
6.8198769092559814,-35.0
6.92012619972229,-35.0
7.024386644363403,-35.0
7.125297784805298,-35.0
7.229404449462891,-35.0
7.333249092102051,-35.0
7.438902139663696,-35.0
7.544065952301025,-35.0
7.646452188491821,-34.5
7.750495195388794,-35.5
7.853289365768433,-35.0
7.958399295806885,-34.5
8.0624098777771,-35.0
8.167716264724731,-35.0
8.269804000854492,-35.0
8.477086305618286,-35.0
8.583186388015747,-35.5
8.68444299697876,-35.5
8.788158416748047,-35.0
8.889192342758179,-35.0
8.993797302246094,-35.0
9.096429109573364,-35.5
9.200788497924805,-35.0
9.304758310317993,-35.0
9.410692691802979,-35.5
9.518797636032104,-35.0
9.622044086456299,-34.5
9.723874568939209,-35.5
9.829210042953491,-34.5
9.934480667114258,-35.0
10.036900281906128,-35.0
10.140878677368164,-35.0
10.245860576629639,-35.0
10.351388216018677,-35.0
10.453430891036987,-35.5
10.553657054901123,-35.5
10.657665014266968,-35.5
10.7610604763031,-35.0
10.866623878479004,-35.5
10.96709132194519,-35.0
11.06998896598816,-35.0
11.175477981567383,-35.0
11.283322811126709,-35.0
11.387303590774536,-35.0
11.489593267440796,-35.0
11.594090938568115,-35.0
11.800139427185059,-35.0
12.008637189865112,-35.5
12.11439037322998,-35.5
12.21790599822998,-35.5
12.320983648300171,-35.0
12.422895908355713,-34.5
12.529114961624146,-35.0
12.633660793304443,-35.0
12.737272262573242,-35.0
12.840199947357178,-35.0
12.942641735076904,-35.0
13.147572994232178,-38.5
13.251915216445923,-35.5
13.355305671691895,-35.0
13.458366870880127,-35.0
13.559863567352295,-34.5
13.664003372192383,-35.0
13.767444849014282,-35.0
13.872076511383057,-35.0
13.975531816482544,-35.0
14.080089092254639,-35.0
14.184079885482788,-35.0
14.28766655921936,-35.5
14.392699956893921,-35.0
14.495861530303955,-35.5
14.600661039352417,-35.5
14.704998016357422,-35.5
14.808871030807495,-35.0
14.912481784820557,-34.5
15.016982078552246,-34.5
15.121071815490723,-35.0
15.225434303283691,-35.0
15.330069541931152,-35.0
15.434361219406128,-35.5
15.537697076797485,-35.5
15.642807960510254,-35.0
15.745493412017822,-35.0
15.851315975189209,-35.0
15.954923868179321,-35.0
16.057928323745728,-34.5
16.163381576538086,-34.5
16.269896268844604,-35.0
16.373254776000977,-35.0
16.476714611053467,-35.0
16.579611778259277,-35.0
16.685797691345215,-35.0
16.788950443267822,-35.0
16.89251971244812,-35.0
16.995559453964233,-35.0
17.104073762893677,-34.5
17.206686973571777,-35.0
17.31099271774292,-35.0
17.414000034332275,-35.5
17.516517877578735,-35.5
17.617374420166016,-35.5
17.823825120925903,-35.0
17.930070400238037,-35.0
18.03222155570984,-35.0
18.139339447021484,-35.5
18.24250888824463,-35.0
18.344619274139404,-34.5
18.451232433319092,-35.0
18.554742336273193,-35.0
18.657942295074463,-35.0
18.76227331161499,-35.5
18.86828351020813,-35.5
18.969486713409424,-34.5
19.073025465011597,-35.0
19.178006410598755,-35.0
19.284321069717407,-35.0
19.386906623840332,-35.0
19.49263072013855,-35.5
19.59601068496704,-35.0
19.70131254196167,-35.0
19.803054332733154,-35.0
19.90410089492798,-35.0
20.008232593536377,-35.0
20.11276626586914,-35.0
20.219199419021606,-35.0
20.322542190551758,-35.0
20.530123949050903,-38.5
20.635454416275024,-35.0
20.739945888519287,-35.0
20.845557928085327,-35.0
20.951005697250366,-34.5
21.056545972824097,-35.0
21.16200351715088,-35.0
21.264865398406982,-35.0
21.36998224258423,-35.0
21.47640037536621,-35.0
21.57738184928894,-35.0
21.68041467666626,-35.0
21.788901567459106,-34.5
21.890822410583496,-35.5
21.995943307876587,-35.0
22.098671674728394,-35.0
22.2042498588562,-35.0
22.306233167648315,-35.0
22.408580780029297,-35.0
22.511303901672363,-35.0
22.618444204330444,-35.0
22.719860315322876,-35.0
22.824124574661255,-35.0
22.928898811340332,-35.0
23.033231019973755,-35.0
23.135804414749146,-35.0
23.24087119102478,-35.0
23.34391188621521,-35.0
23.445998430252075,-35.0
23.551437616348267,-34.5
23.65686583518982,-35.0
23.760260105133057,-35.0
23.864856719970703,-34.5
23.968605995178223,-35.0
24.07101035118103,-35.0
24.172650575637817,-35.0
24.27625036239624,-35.0
24.382871389389038,-35.0
24.488686561584473,-34.5
24.59060525894165,-35.0
24.693323373794556,-35.0
24.795053720474243,-35.0
24.897361040115356,-35.0
25.000457286834717,-35.5
25.10458469390869,-35.5
25.208717823028564,-35.5
25.313066244125366,-35.5
25.41624665260315,-35.5
25.52248740196228,-35.5
25.624464750289917,-35.0
25.72599720954895,-35.0
25.829352378845215,-35.0
25.935742616653442,-35.0
26.041847229003906,-35.0
26.146322011947632,-35.0
26.25304412841797,-35.0
26.357224464416504,-35.0
26.462544679641724,-34.5
26.567043781280518,-35.0
