local_time, rssi, channel, remote_mac, rpi
1590164296.67, -73, 39, CE:EE:EC:4E:C5:30, 00000040CF08800100C28000800100C2800019C0FEEDBEEF
1590164296.73, -78, 38, CE:EE:EC:4E:C5:30, 00000040D008400280C10001400280C1000119C0FEEDBEEF
1590164296.93, -73, 39, CE:EE:EC:4E:C5:30, 00000040D008400280C10001400280C1000119C0FEEDBEEF
1590164297.01, -74, 39, CE:EE:EC:4E:C5:30, 00000040D2080002C0C100010002C0C1000119C0FEEDBEEF
1590164297.28, -74, 39, CE:EE:EC:4E:C5:30, 00000040D2080002C0C100010002C0C1000119C0FEEDBEEF
1590164297.35, -78, 38, CE:EE:EC:4E:C5:30, 00000040D3080002C0C100010002C0C1000119C0FEEDBEEF
1590164297.56, -74, 39, CE:EE:EC:4E:C5:30, 00000040D3080002C0C100010002C0C1000119C0FEEDBEEF
1590164297.63, -73, 39, CE:EE:EC:4E:C5:30, 00000040D5084001C0C100014001C0C1000119C0FEEDBEEF
1590164297.89, -74, 39, CE:EE:EC:4E:C5:30, 00000040D5084001C0C100014001C0C1000119C0FEEDBEEF
1590164297.95, -77, 38, CE:EE:EC:4E:C5:30, 00000040D608000200C24001000200C2400119C0FEEDBEEF
1590164298.08, -74, 39, CE:EE:EC:4E:C5:30, 00000040D608000200C24001000200C2400119C0FEEDBEEF
1590164298.21, -73, 39, CE:EE:EC:4E:C5:30, 00000040D808800100C20001800100C2000119C0FEEDBEEF
1590164298.49, -73, 39, CE:EE:EC:4E:C5:30, 00000040D808800100C20001800100C2000119C0FEEDBEEF
1590164298.56, -78, 38, CE:EE:EC:4E:C5:30, 00000040D908000280C10001000280C1000119C0FEEDBEEF
1590164298.76, -74, 39, CE:EE:EC:4E:C5:30, 00000040D908000280C10001000280C1000119C0FEEDBEEF
1590164298.83, -79, 38, CE:EE:EC:4E:C5:30, 00000040DA08000200C20001000200C2000119C0FEEDBEEF
1590164299.02, -73, 39, CE:EE:EC:4E:C5:30, 00000040DB08C00100C24001C00100C2400119C0FEEDBEEF
1590164299.09, -73, 39, CE:EE:EC:4E:C5:30, 00000040DB08C00100C24001C00100C2400119C0FEEDBEEF
