local_time, rssi, channel, remote_mac, rpi
1590444590.15, -67, 39, CE:EE:EC:4E:C5:30, 00000040870F8042400240FD8042400240FD19C0FEEDBEEF
1590444590.21, -64, 37, CE:EE:EC:4E:C5:30, 00000040880F0042800280FD0042800280FD19C0FEEDBEEF
1590444590.28, -69, 38, CE:EE:EC:4E:C5:30, 00000040880F0042800280FD0042800280FD19C0FEEDBEEF
1590444590.34, -69, 38, CE:EE:EC:4E:C5:30, 00000040880F0042800280FD0042800280FD19C0FEEDBEEF
1590444590.40, -67, 39, CE:EE:EC:4E:C5:30, 00000040890F8042C002C0FD8042C002C0FD19C0FEEDBEEF
1590444590.47, -64, 37, CE:EE:EC:4E:C5:30, 00000040890F8042C002C0FD8042C002C0FD19C0FEEDBEEF
1590444590.54, -65, 37, CE:EE:EC:4E:C5:30, 00000040890F8042C002C0FD8042C002C0FD19C0FEEDBEEF
1590444590.61, -74, 38, CE:EE:EC:4E:C5:30, 000000408A0FC041C00280FDC041C00280FD19C0FEEDBEEF
1590444590.67, -64, 39, CE:EE:EC:4E:C5:30, 000000408A0FC041C00280FDC041C00280FD19C0FEEDBEEF
1590444590.74, -64, 39, CE:EE:EC:4E:C5:30, 000000408A0FC041C00280FDC041C00280FD19C0FEEDBEEF
1590444590.81, -65, 37, CE:EE:EC:4E:C5:30, 000000408B0F4042400240FD4042400240FD19C0FEEDBEEF
1590444590.88, -69, 38, CE:EE:EC:4E:C5:30, 000000408B0F4042400240FD4042400240FD19C0FEEDBEEF
1590444590.95, -69, 38, CE:EE:EC:4E:C5:30, 000000408B0F4042400240FD4042400240FD19C0FEEDBEEF
1590444591.02, -67, 39, CE:EE:EC:4E:C5:30, 000000408C0F4042C002C0FD4042C002C0FD19C0FEEDBEEF
1590444591.09, -64, 37, CE:EE:EC:4E:C5:30, 000000408C0F4042C002C0FD4042C002C0FD19C0FEEDBEEF
1590444591.15, -64, 37, CE:EE:EC:4E:C5:30, 000000408C0F4042C002C0FD4042C002C0FD19C0FEEDBEEF
1590444591.22, -70, 38, CE:EE:EC:4E:C5:30, 000000408D0F8042000240FD8042000240FD19C0FEEDBEEF
1590444591.28, -67, 39, CE:EE:EC:4E:C5:30, 000000408D0F8042000240FD8042000240FD19C0FEEDBEEF
1590444591.35, -66, 39, CE:EE:EC:4E:C5:30, 000000408D0F8042000240FD8042000240FD19C0FEEDBEEF
1590444591.42, -63, 37, CE:EE:EC:4E:C5:30, 000000408E0FC041400280FDC041400280FD19C0FEEDBEEF
1590444591.48, -69, 38, CE:EE:EC:4E:C5:30, 000000408E0FC041400280FDC041400280FD19C0FEEDBEEF
1590444591.55, -66, 38, CE:EE:EC:4E:C5:30, 000000408E0FC041400280FDC041400280FD19C0FEEDBEEF
1590444591.62, -69, 39, CE:EE:EC:4E:C5:30, 000000408F0F4042800240FE4042800240FE19C0FEEDBEEF
1590444591.69, -62, 37, CE:EE:EC:4E:C5:30, 000000408F0F4042800240FE4042800240FE19C0FEEDBEEF
1590444591.76, -69, 38, CE:EE:EC:4E:C5:30, 000000408F0F4042800240FE4042800240FE19C0FEEDBEEF
1590444591.83, -68, 38, CE:EE:EC:4E:C5:30, 00000040900F4042400280FD4042400280FD19C0FEEDBEEF
1590444591.90, -67, 39, CE:EE:EC:4E:C5:30, 00000040900F4042400280FD4042400280FD19C0FEEDBEEF
1590444591.96, -64, 37, CE:EE:EC:4E:C5:30, 00000040900F4042400280FD4042400280FD19C0FEEDBEEF
1590444592.03, -64, 37, CE:EE:EC:4E:C5:30, 00000040910F4042800200FE4042800200FE19C0FEEDBEEF
1590444592.10, -69, 38, CE:EE:EC:4E:C5:30, 00000040910F4042800200FE4042800200FE19C0FEEDBEEF
1590444592.17, -66, 39, CE:EE:EC:4E:C5:30, 00000040910F4042800200FE4042800200FE19C0FEEDBEEF
1590444592.24, -66, 39, CE:EE:EC:4E:C5:30, 00000040920F00428002C0FD00428002C0FD19C0FEEDBEEF
1590444592.31, -65, 37, CE:EE:EC:4E:C5:30, 00000040920F00428002C0FD00428002C0FD19C0FEEDBEEF
1590444592.37, -70, 38, CE:EE:EC:4E:C5:30, 00000040920F00428002C0FD00428002C0FD19C0FEEDBEEF
1590444592.44, -69, 38, CE:EE:EC:4E:C5:30, 00000040930F0042400280FD0042400280FD19C0FEEDBEEF
1590444592.51, -65, 37, CE:EE:EC:4E:C5:30, 00000040930F0042400280FD0042400280FD19C0FEEDBEEF
1590444592.63, -65, 37, CE:EE:EC:4E:C5:30, 00000040940FC041000200FEC041000200FE19C0FEEDBEEF
1590444592.69, -69, 38, CE:EE:EC:4E:C5:30, 00000040940FC041000200FEC041000200FE19C0FEEDBEEF
1590444592.76, -66, 39, CE:EE:EC:4E:C5:30, 00000040940FC041000200FEC041000200FE19C0FEEDBEEF
1590444592.83, -66, 39, CE:EE:EC:4E:C5:30, 00000040950F4042000240FE4042000240FE19C0FEEDBEEF
1590444592.90, -65, 37, CE:EE:EC:4E:C5:30, 00000040950F4042000240FE4042000240FE19C0FEEDBEEF
1590444592.97, -69, 38, CE:EE:EC:4E:C5:30, 00000040950F4042000240FE4042000240FE19C0FEEDBEEF
1590444593.03, -69, 38, CE:EE:EC:4E:C5:30, 00000040960F0042400280FD0042400280FD19C0FEEDBEEF
1590444593.09, -66, 39, CE:EE:EC:4E:C5:30, 00000040960F0042400280FD0042400280FD19C0FEEDBEEF
1590444593.16, -65, 39, CE:EE:EC:4E:C5:30, 00000040960F0042400280FD0042400280FD19C0FEEDBEEF
1590444593.22, -65, 37, CE:EE:EC:4E:C5:30, 00000040970F8042400280FD8042400280FD19C0FEEDBEEF
