Time taken,RSSI
0.10306501388549805,-32.0
0.10664153099060059,-32.0
0.10612607002258301,-32.0
0.10411310195922852,-32.0
0.10403895378112793,-32.0
0.1075441837310791,-32.5
0.10502839088439941,-32.0
0.1074824333190918,-32.5
0.106201171875,-31.5
0.1030583381652832,-32.0
0.10763001441955566,-31.5
0.10434699058532715,-32.0
0.10429048538208008,-32.0
0.10429787635803223,-32.0
0.1076653003692627,-32.5
0.10469198226928711,-32.0
0.2122974395751953,-32.0
0.10801124572753906,-31.5
0.1040191650390625,-32.0
0.10978507995605469,-32.0
0.10398268699645996,-32.0
0.10796332359313965,-32.5
0.10446906089782715,-32.0
0.10388827323913574,-32.5
0.10730624198913574,-32.5
0.10899901390075684,-32.5
0.10821533203125,-32.5
0.10492467880249023,-31.5
0.10269880294799805,-32.5
0.10239434242248535,-32.0
0.10326647758483887,-32.5
0.10921621322631836,-31.5
0.10291075706481934,-32.0
0.10809850692749023,-32.0
0.10759735107421875,-32.5
0.10076212882995605,-32.5
0.10827445983886719,-32.5
0.10400629043579102,-32.0
0.10462117195129395,-32.0
0.10424685478210449,-32.0
0.10509300231933594,-32.5
0.1044456958770752,-32.0
0.10628652572631836,-32.0
0.1082448959350586,-32.0
0.10566997528076172,-32.5
0.10760331153869629,-32.5
0.10790228843688965,-32.5
0.10801935195922852,-32.5
0.1011819839477539,-32.5
0.1077573299407959,-32.5
0.10388016700744629,-32.5
0.1089012622833252,-32.0
0.10385680198669434,-32.0
0.10856342315673828,-32.0
0.10425662994384766,-32.5
0.10767507553100586,-32.5
0.10930252075195312,-32.0
0.10387849807739258,-31.5
0.10815620422363281,-31.5
0.10446405410766602,-32.5
0.10612773895263672,-32.5
0.10613393783569336,-32.5
0.10578513145446777,-32.5
0.10396218299865723,-32.0
0.1096944808959961,-32.5
0.10755133628845215,-31.5
0.1049199104309082,-32.5
0.10378050804138184,-32.0
0.10420632362365723,-32.0
0.10748434066772461,-32.0
0.10620665550231934,-32.0
0.10339522361755371,-32.0
0.10474038124084473,-32.0
0.10860586166381836,-32.5
0.10391378402709961,-32.0
0.10409760475158691,-32.5
0.10862135887145996,-32.5
0.10408949851989746,-32.5
0.10410928726196289,-32.5
0.10802197456359863,-32.5
0.10408210754394531,-32.0
0.10442018508911133,-32.5
0.10548591613769531,-32.0
0.10284757614135742,-32.5
0.10400032997131348,-32.5
0.10810685157775879,-32.5
0.10225963592529297,-32.5
0.10237002372741699,-32.5
0.10606217384338379,-32.0
0.10598516464233398,-32.5
0.10390758514404297,-32.0
0.10525894165039062,-32.5
0.11002826690673828,-32.0
0.1044316291809082,-32.0
0.10440635681152344,-32.5
0.10907959938049316,-32.5
0.1075737476348877,-32.5
0.1092524528503418,-32.0
0.10749173164367676,-32.5
0.10932183265686035,-32.5
0.10387945175170898,-32.0
0.10830807685852051,-31.5
0.20832395553588867,-32.5
0.10796022415161133,-32.5
0.10050368309020996,-32.0
0.10435771942138672,-32.0
0.10399198532104492,-32.0
0.10764575004577637,-32.5
0.10486078262329102,-32.5
0.10416674613952637,-32.5
0.10822629928588867,-32.5
0.10793209075927734,-32.5
0.10403728485107422,-32.0
0.10987591743469238,-32.0
0.10684847831726074,-32.5
0.10916352272033691,-32.0
0.10770320892333984,-32.0
0.10448622703552246,-32.5
0.1045842170715332,-32.5
0.10779714584350586,-32.0
0.10781526565551758,-32.5
0.10824465751647949,-32.5
0.1029362678527832,-32.0
0.1046748161315918,-32.5
0.10355353355407715,-32.5
0.20917654037475586,-33.0
0.10408377647399902,-31.5
0.10504555702209473,-32.0
0.10682034492492676,-32.5
0.10297560691833496,-32.5
0.10641121864318848,-32.5
0.10675621032714844,-32.0
0.10576987266540527,-32.5
0.10508298873901367,-32.5
0.10204720497131348,-32.5
0.10552239418029785,-32.5
0.10696244239807129,-32.5
0.10416007041931152,-32.5
0.10770821571350098,-32.5
0.10500526428222656,-32.0
0.10392045974731445,-32.5
0.10831308364868164,-32.0
0.10559654235839844,-33.0
0.10755586624145508,-32.5
0.10369253158569336,-32.0
0.10465764999389648,-33.0
0.10659074783325195,-32.5
0.10411572456359863,-32.0
0.10584425926208496,-32.0
0.10434818267822266,-32.5
0.10337638854980469,-32.5
0.1068115234375,-32.5
0.10688471794128418,-32.0
0.10779094696044922,-32.0
0.10772824287414551,-32.5
0.10643434524536133,-32.0
0.23629045486450195,-34.5
0.1064600944519043,-32.0
0.1044151782989502,-32.5
0.10410833358764648,-32.5
0.1092672348022461,-32.5
0.10324740409851074,-31.5
0.10470914840698242,-32.5
0.10469365119934082,-32.5
0.10389351844787598,-32.5
0.10820889472961426,-32.5
0.10408258438110352,-32.5
0.10471034049987793,-32.5
0.10888838768005371,-32.0
0.10686540603637695,-32.5
0.10913872718811035,-32.5
0.10424995422363281,-32.5
0.10711336135864258,-31.5
0.10524106025695801,-32.5
0.10429191589355469,-32.0
0.10435032844543457,-32.5
0.10824227333068848,-32.0
0.10524249076843262,-32.5
0.10587692260742188,-32.0
0.10562443733215332,-32.5
0.10672640800476074,-32.5
0.10544991493225098,-32.0
0.10786819458007812,-32.0
0.10461759567260742,-32.5
0.10773372650146484,-32.5
0.10839581489562988,-32.0
0.10853409767150879,-32.5
0.10571956634521484,-32.5
0.10416674613952637,-32.5
0.10856842994689941,-32.5
0.10137557983398438,-32.5
0.10903525352478027,-32.5
0.10802841186523438,-32.0
0.1065821647644043,-32.5
0.10564017295837402,-32.5
0.10399675369262695,-32.0
0.1050577163696289,-32.5
0.1073007583618164,-32.5
0.10476827621459961,-32.5
