Time since first transmission (s),RSSI (dB)
0.1046304702758789,-35.5
0.20737528800964355,-34.5
0.31189513206481934,-35.0
0.418048620223999,-35.0
0.5218729972839355,-35.0
0.6287100315093994,-35.0
0.733353853225708,-35.0
0.8385581970214844,-34.5
0.9416089057922363,-34.0
1.0456740856170654,-34.5
1.1469950675964355,-35.0
1.2496142387390137,-34.5
1.3554401397705078,-35.5
1.4581623077392578,-35.5
1.5597870349884033,-35.0
1.6620056629180908,-34.0
1.7691922187805176,-34.0
1.8722388744354248,-34.0
1.9750454425811768,-35.0
2.078679084777832,-35.0
2.1797702312469482,-33.5
2.2847893238067627,-35.0
2.385605573654175,-34.5
2.4881675243377686,-35.0
2.5913116931915283,-34.5
2.698193073272705,-35.0
2.804717540740967,-35.0
2.909485340118408,-35.0
3.0120558738708496,-34.5
3.117866277694702,-35.0
3.2222440242767334,-35.0
3.328524112701416,-35.0
3.4298031330108643,-35.0
3.5383529663085938,-35.0
3.744995355606079,-35.0
3.8476037979125977,-35.0
3.9522945880889893,-34.5
4.058347463607788,-35.0
4.160812616348267,-35.0
4.267287492752075,-35.0
4.3729164600372314,-35.0
4.578097105026245,-35.0
4.680748462677002,-35.0
4.891908168792725,-35.0
4.995574712753296,-35.0
5.102200508117676,-35.0
5.206780910491943,-35.0
5.311554193496704,-34.5
5.413127660751343,-35.0
5.514874458312988,-35.0
5.615951299667358,-35.0
5.718500375747681,-35.0
5.824073314666748,-35.0
5.92627739906311,-35.0
6.030775547027588,-35.0
6.133921146392822,-35.0
6.237333059310913,-35.0
6.340840578079224,-35.0
6.444153785705566,-35.0
6.547030448913574,-35.0
6.755445241928101,-38.5
6.856343984603882,-35.0
6.958108901977539,-35.0
7.064432859420776,-35.0
7.272536754608154,-35.0
7.3746795654296875,-35.0
7.479786157608032,-35.0
7.58288836479187,-35.0
7.685683727264404,-35.0
7.789682865142822,-35.0
7.894222021102905,-35.0
7.996155023574829,-34.5
8.101041793823242,-35.0
8.205153942108154,-35.0
8.311224460601807,-35.0
8.414740085601807,-35.0
8.517505884170532,-35.0
8.62034296989441,-35.0
8.72717022895813,-35.0
8.830005645751953,-35.0
8.934340238571167,-35.0
9.036696672439575,-35.0
9.141762971878052,-34.5
9.348171472549438,-35.0
9.449756860733032,-35.0
9.552819013595581,-35.0
9.65453052520752,-35.0
9.756012201309204,-35.0
9.861248970031738,-35.0
9.96267580986023,-35.0
10.06764817237854,-35.0
10.172704696655273,-35.0
10.276105165481567,-35.0
10.37892198562622,-35.0
10.480963706970215,-35.0
10.581190586090088,-35.0
10.685796737670898,-35.0
10.790549993515015,-34.5
10.894516468048096,-35.0
11.001468896865845,-34.5
11.106377363204956,-35.0
11.20979642868042,-35.0
11.314788579940796,-35.0
11.416310787200928,-35.0
11.521275043487549,-35.0
11.627111434936523,-35.0
11.731335163116455,-35.0
11.834491491317749,-35.0
11.936649560928345,-35.0
12.038240671157837,-35.0
12.14305830001831,-35.0
12.247077465057373,-34.5
12.351226091384888,-35.0
12.456480026245117,-35.0
12.55739140510559,-35.0
12.659591436386108,-35.0
12.768333673477173,-35.0
12.874065637588501,-35.0
12.976221323013306,-35.0
13.085127115249634,-35.0
13.19017219543457,-35.0
13.293509006500244,-34.5
13.396424531936646,-35.0
13.496450424194336,-35.0
13.59805941581726,-35.0
13.701820135116577,-35.0
13.806146383285522,-35.0
13.907859563827515,-35.0
14.011350393295288,-35.0
14.116894483566284,-34.5
14.21819543838501,-34.5
14.323602676391602,-35.0
14.42516827583313,-35.0
14.529446601867676,-35.0
14.634726524353027,-34.5
14.740715980529785,-35.0
14.84377932548523,-35.0
14.948191404342651,-35.0
15.050339221954346,-35.0
15.155416250228882,-34.5
15.260337591171265,-35.0
15.363849639892578,-35.0
15.468206405639648,-35.0
15.572636365890503,-35.0
15.677170753479004,-35.0
15.77914571762085,-35.0
15.884037017822266,-35.0
15.98807692527771,-35.0
16.094305515289307,-35.0
16.200275421142578,-35.0
16.300724744796753,-35.0
16.403177499771118,-35.0
16.507102966308594,-35.0
16.613013982772827,-34.5
16.7173810005188,-35.0
16.82643437385559,-34.5
16.929447412490845,-35.0
17.03513789176941,-35.0
17.140240907669067,-34.5
17.246116161346436,-35.0
17.350695371627808,-35.0
17.45223879814148,-35.0
17.555094480514526,-35.0
17.659356355667114,-35.0
17.763102293014526,-35.0
17.86443519592285,-35.0
17.971112489700317,-35.0
18.074265003204346,-34.5
18.17546248435974,-35.0
18.280064582824707,-34.5
18.384222507476807,-35.0
18.48758292198181,-34.5
18.58958148956299,-35.0
18.692254066467285,-34.5
18.795480251312256,-34.5
18.897189617156982,-35.0
19.002293586730957,-35.0
19.107311487197876,-34.5
19.208346366882324,-35.0
19.309398651123047,-34.5
19.412943601608276,-34.5
19.518644094467163,-35.0
19.621759176254272,-35.0
19.722045421600342,-35.0
19.824504137039185,-35.0
19.927093029022217,-35.0
20.028499603271484,-35.0
20.135125398635864,-35.0
20.236449480056763,-35.0
20.342864513397217,-35.0
20.44761300086975,-35.0
20.551719665527344,-35.0
20.656554698944092,-35.0
20.75682282447815,-34.5
20.86155605316162,-35.0
20.963319063186646,-35.0
21.068230152130127,-35.0
21.173324584960938,-35.0
21.278340101242065,-35.0
21.38069725036621,-35.0
21.485358953475952,-34.5
21.587995767593384,-35.0
21.692816019058228,-35.0
21.796122312545776,-35.0
21.900665044784546,-35.0
22.004547357559204,-35.0
22.10897994041443,-35.0
22.212417125701904,-35.0
22.314729928970337,-35.0
22.41734266281128,-35.0
22.517550230026245,-35.0
22.62273859977722,-35.0
22.726603746414185,-35.0
22.82968759536743,-35.0
22.935457944869995,-34.5
23.038604021072388,-34.5
23.142585039138794,-35.0
23.248405694961548,-35.0
23.352487325668335,-35.0
23.455859184265137,-35.0
23.559597730636597,-34.5
23.66545271873474,-35.0
23.7689790725708,-35.0
23.871331930160522,-35.0
23.97317624092102,-35.0
24.07378315925598,-35.0
24.175896167755127,-34.5
24.28003478050232,-35.0
24.384671688079834,-35.0
24.49015498161316,-35.0
24.59412169456482,-34.0
24.69665837287903,-34.5
24.797839879989624,-35.0
24.902239322662354,-35.0
25.004768133163452,-35.0
25.106382369995117,-35.0
25.20839548110962,-35.0
25.3099205493927,-35.0
25.414203882217407,-35.0
25.517723083496094,-35.0
25.62050700187683,-34.0
25.722936868667603,-34.5
25.830886602401733,-34.5
25.93517255783081,-35.0
26.040818691253662,-35.0
26.14464259147644,-35.0
26.455869913101196,-35.0
26.559587240219116,-34.5
26.667187213897705,-35.0
26.773789167404175,-34.5
