Time since first transmission (s),RSSI (dB)
0.10287237167358398,-27.5
0.2069416046142578,-27.5
0.31113553047180176,-27.5
0.41821813583374023,-27.5
0.5256011486053467,-27.5
0.6271069049835205,-29.0
0.7272617816925049,-29.5
0.8326454162597656,-29.0
0.9371886253356934,-27.5
1.039365291595459,-27.0
1.1424775123596191,-27.0
1.2436919212341309,-27.5
1.343895673751831,-29.0
1.448127031326294,-30.0
1.5542588233947754,-29.0
1.6596248149871826,-27.5
1.765259027481079,-27.5
1.870105266571045,-28.0
1.9703068733215332,-26.5
2.0707879066467285,-28.0
2.173673629760742,-27.5
2.277409791946411,-27.5
2.3805832862854004,-27.0
2.4823763370513916,-27.5
2.586517572402954,-27.5
2.688015937805176,-27.0
2.7910807132720947,-27.5
2.8976023197174072,-27.5
3.001755952835083,-27.5
3.1048710346221924,-27.5
3.206141233444214,-27.5
3.311405897140503,-27.5
3.4146642684936523,-27.5
3.5161001682281494,-27.5
3.6196470260620117,-27.5
3.724944829940796,-27.5
3.831852912902832,-27.5
3.936386823654175,-27.5
4.042614459991455,-27.5
4.148613452911377,-27.5
4.2516210079193115,-27.5
4.353302717208862,-27.5
4.458744525909424,-27.5
4.566633462905884,-27.0
4.670518636703491,-27.5
4.77445650100708,-27.5
4.878390312194824,-27.0
4.981752634048462,-27.5
5.087420463562012,-27.5
5.191699743270874,-27.5
5.293867588043213,-27.5
5.395446062088013,-27.5
5.500254392623901,-27.5
5.707334518432617,-27.5
5.8095598220825195,-27.5
5.915663957595825,-27.5
6.020251274108887,-27.5
6.1272242069244385,-27.0
6.231325149536133,-27.5
6.333629846572876,-27.0
6.4351654052734375,-27.5
6.5351996421813965,-28.0
6.635848522186279,-27.0
6.741255044937134,-27.0
6.8455491065979,-27.5
6.94831109046936,-28.0
7.052318572998047,-27.0
7.154528617858887,-27.5
7.259399890899658,-27.0
7.366062879562378,-27.5
7.470262050628662,-27.5
7.576191663742065,-27.5
7.6779680252075195,-27.5
7.786197662353516,-27.5
7.889485597610474,-27.5
7.991632699966431,-27.5
8.099476337432861,-27.5
8.204159021377563,-27.5
8.308661937713623,-27.5
8.41231393814087,-27.5
8.516648054122925,-27.5
8.61957311630249,-27.5
8.723749160766602,-27.5
8.831987380981445,-27.5
8.93723177909851,-27.5
9.041230201721191,-27.0
9.145638942718506,-27.5
9.25039005279541,-27.5
9.352785587310791,-27.5
9.453030586242676,-27.5
9.556450128555298,-28.0
9.665793895721436,-27.0
9.773048877716064,-27.5
9.879122018814087,-27.5
9.983216047286987,-28.0
10.08759069442749,-27.5
10.193212032318115,-27.5
10.296482563018799,-27.5
10.400255680084229,-27.5
10.503167390823364,-27.5
10.605040311813354,-27.5
10.70812177658081,-27.5
10.811136245727539,-27.0
10.915889501571655,-27.5
11.022302865982056,-27.5
11.12330412864685,-27.0
11.223933458328247,-27.5
11.327547073364258,-27.5
11.427881240844727,-27.5
11.532159328460693,-27.5
11.634428262710571,-27.5
11.738087177276611,-27.0
11.841376781463623,-27.5
11.944680213928223,-27.5
12.051209688186646,-28.0
12.15292477607727,-28.5
12.256516218185425,-28.5
12.362197875976562,-28.5
12.466019630432129,-28.0
12.5721914768219,-27.5
12.67721176147461,-27.5
12.781595945358276,-27.5
12.883670568466187,-27.5
12.985546827316284,-27.5
13.086337566375732,-27.5
13.188481330871582,-27.5
13.290455102920532,-27.0
13.39253544807434,-27.5
13.4939603805542,-27.5
