local_time, dongle_time, rssi, remote_mac, remote_adv
1589117929.04,       372437, -41, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117929.25,       372650, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117929.46,       372862, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117929.68,       373069, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117929.88,       373283, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117930.10,       373495, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117930.31,       373706, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD020000000000000000000000006019C0
1589117930.52,       374172, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117930.99,       374490, -38, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117931.30,       374701, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117931.51,       374907, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117931.72,       375118, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117931.93,       375327, -38, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117932.14,       376055, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117932.87,       376476, -38, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117933.29,       376902, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117933.72,       377536, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117934.35,       377747, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117934.56,       377956, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117934.77,       378056, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117934.87,       378268, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117935.08,       379204, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117936.02,       379414, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117936.23,       379622, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117936.44,       380565, -38, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117937.38,       380778, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117937.59,       380886, -38, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117937.70,       380989, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117937.80,       381419, -38, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117938.23,       381630, -40, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117938.44,       382152, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117938.97,       383092, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117939.90,       383510, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117940.32,       383717, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117940.53,       383928, -39, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD03000000000000000000000000C019C0
1589117940.74,       384277, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD04000000000000000000000000A019C0
1589117941.09,       384488, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD04000000000000000000000000A019C0
1589117941.30,       384699, -37, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD04000000000000000000000000A019C0
1589117941.51,       385208, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD04000000000000000000000000A019C0
1589117942.02,       385423, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD04000000000000000000000000A019C0
1589117942.24,       385633, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD04000000000000000000000000A019C0
1589117942.45,       386376, -36, D2:CE:11:B1:EE:D8, 020A0002010603036FFD13166FFD04000000000000000000000000A019C0
